,PSNR,SSIM
count,8039.0,8039.0
mean,33.696523770777084,0.9149039797424633
std,5.009089203089536,0.04830257703128165
min,17.134109497070312,0.6565724015235901
25%,29.253588676452637,0.8946610689163208
50%,34.1702766418457,0.928801953792572
75%,39.04507827758789,0.9496134221553802
max,41.37785339355469,0.9771420955657959
