,PSNR,SSIM
count,8039.0,8039.0
mean,25.510157900346513,0.7662045978642709
std,1.7564966275742089,0.03859292802872083
min,16.749832153320312,0.5745837092399597
25%,24.373072624206543,0.7416321635246277
50%,25.133901596069336,0.7653467059135437
75%,26.533474922180176,0.7892356514930725
max,32.07743835449219,0.8742108345031738
