,PSNR,SSIM
count,8039.0,8039.0
mean,36.1813130879939,0.945100472598901
std,5.622449814842713,0.033839440886203186
min,21.15543556213379,0.7826830148696899
25%,31.21923828125,0.929078608751297
50%,36.54021453857422,0.9568045139312744
75%,42.04509353637695,0.9697263538837433
max,45.196956634521484,0.9863054156303406
