,PSNR,SSIM
count,8039.0,8039.0
mean,33.09452070479874,0.9383979790660631
std,3.423683189741606,0.030109385085096117
min,21.820661544799805,0.7672587037086487
25%,30.633140563964844,0.9249763488769531
50%,33.86503982543945,0.9488983750343323
75%,35.491458892822266,0.9595270454883575
max,40.95409393310547,0.9783953428268433
