,PSNR,SSIM
count,8039.0,8039.0
mean,36.89218415275619,0.9763973470142876
std,6.374615899520862,0.029342757412151747
min,17.078187942504883,0.7775534391403198
25%,30.971628189086914,0.9605053663253784
50%,38.88203430175781,0.9928809404373169
75%,42.133724212646484,0.9984708428382874
max,48.9050407409668,0.9990954995155334
