,PSNR,SSIM
count,8039.0,8039.0
mean,28.73905958917577,0.917257435146234
std,2.3580711981446973,0.027834773173399645
min,18.569393157958984,0.6967771053314209
25%,27.510933876037598,0.9065679907798767
50%,28.625375747680664,0.9223018288612366
75%,30.112384796142578,0.9348984360694885
max,36.167972564697266,0.9669763445854187
