,PSNR,SSIM
count,8039.0,8039.0
mean,30.21057888856203,0.908587477918673
std,2.3514436826213574,0.026001793825031302
min,20.183338165283203,0.7078976035118103
25%,28.957375526428223,0.8983045220375061
50%,30.16489601135254,0.9131629467010498
75%,31.52092456817627,0.9250499606132507
max,37.24617004394531,0.9557511210441589
