,PSNR,SSIM
count,8039.0,8039.0
mean,28.780749250872987,0.8759691619964985
std,2.072038649320999,0.026973076756446883
min,20.476266860961914,0.7146978378295898
25%,27.601357460021973,0.8633197546005249
50%,28.49921417236328,0.8777341246604919
75%,29.914191246032715,0.8910730481147766
max,35.898704528808594,0.9377425909042358
