epoch,loss,mean_squared_error,psnr,ssim,val_loss,val_mean_squared_error,val_psnr,val_ssim
0,0.006333509371576292,0.0063335113,23.08344,0.5019878,0.005050113227287971,0.005050113,23.260748,0.5382257
1,0.003054315776046,0.003054314,25.491076,0.70994395,0.00607201853237147,0.0060643437,22.675823,0.61345714
2,0.002470868621385692,0.0024708696,26.446007,0.7905985,0.002361982621603121,0.0023637107,26.639824,0.80082095
3,0.0021699996473074036,0.0021700002,27.025875,0.8287896,0.003183127761599019,0.0031843013,25.329561,0.81017166
4,0.002009183275310181,0.0020091827,27.384851,0.8451167,0.0019921897351875602,0.0019919719,27.385746,0.8408713
5,0.0018803965062132704,0.0018803978,27.679081,0.85535085,0.001965032406378773,0.0019643556,27.435247,0.842065
6,0.0017956263139712722,0.0017956264,27.898714,0.8614979,0.001918676403624102,0.0019180315,27.562489,0.8653747
7,0.0016226484606062272,0.0016226486,28.346743,0.86896497,0.0016307046619543656,0.0016313714,28.322035,0.86384475
8,0.0016167368143884069,0.0016167358,28.374153,0.86983,0.001667620746309109,0.0016666945,28.202377,0.8646925
9,0.0015826441631169022,0.0015826445,28.471125,0.871641,0.0015982838354913797,0.0015975293,28.37209,0.8692627
10,0.0015374044770017584,0.0015374055,28.602821,0.8729943,0.0015795759197014074,0.0015799336,28.428349,0.8713082
11,0.0015251085562143667,0.0015251095,28.637655,0.8732741,0.001515031901279186,0.0015136522,28.61472,0.8724683
12,0.0015170012645427946,0.0015170015,28.658888,0.874065,0.0015047627498513494,0.0015045436,28.647795,0.87455827
13,0.0015180866565630297,0.0015180872,28.667046,0.87378526,0.0014997960155931484,0.0014997377,28.65061,0.87235254
14,0.0015056746202933423,0.0015056749,28.700153,0.8743349,0.0014983530961854875,0.0014983553,28.668722,0.87428564
15,0.0015074730854263375,0.0015074735,28.700632,0.8742684,0.0014926508194820463,0.0014929315,28.684933,0.8743097
16,0.0015058158620183887,0.0015058162,28.701681,0.8743112,0.0015080948427169658,0.0015071852,28.638353,0.8737475
17,0.001502057031203203,0.0015020579,28.707104,0.87418437,0.001483069010876419,0.0014834477,28.70166,0.87380666
18,0.0014982495407363694,0.0014982485,28.71771,0.87452066,0.0015055958965081379,0.0015063505,28.6477,0.87396985
19,0.0015049556738152595,0.0015049555,28.701113,0.8742557,0.0014816039391049322,0.001482093,28.70055,0.8741871
20,0.0015000128872118537,0.0015000134,28.711744,0.8743396,0.0015059935856321506,0.001505717,28.656618,0.87332445
21,0.001503596453903155,0.0015035968,28.707937,0.87440753,0.001491661668265367,0.0014913091,28.67501,0.8733105
22,0.0015040609480481484,0.001504061,28.70909,0.874443,0.0014895976466881432,0.0014902815,28.67659,0.87421095
