,PSNR,SSIM
count,8039.0,8039.0
mean,32.05898804895349,0.9362275302743776
std,2.8006287003525028,0.024902967575365205
min,16.767284393310547,0.6415491104125977
25%,30.431411743164062,0.9259514212608337
50%,32.31545639038086,0.9449707865715027
75%,33.671953201293945,0.9518661797046661
max,40.030731201171875,0.9714081883430481
