,PSNR,SSIM
count,8039.0,8039.0
mean,37.38547506687104,0.9545370323071656
std,6.433778718622968,0.03468836820236627
min,17.585472106933594,0.7511827349662781
25%,31.415108680725098,0.9398798644542694
50%,38.762489318847656,0.9702941179275513
75%,43.9663143157959,0.9781527817249298
max,47.18585968017578,0.989535391330719
