epoch,loss,mean_squared_error,psnr,ssim,val_loss,val_mean_squared_error,val_psnr,val_ssim
0,0.0629138533578882,0.010103514,29.23708,0.9370867,0.3323602440028355,0.061052803,13.007417,0.6676398
1,0.03303425034934713,0.001002069,33.327744,0.9669661,0.07609869385587759,0.0018658539,33.62771,0.92384124
2,0.03056478875375083,0.0008908623,33.957134,0.9694332,0.3219947688195897,0.04352012,14.408299,0.678006
3,0.027352646770344522,0.00078556046,34.432804,0.97264713,0.38978104430368576,0.25142127,6.213588,0.61025286
4,0.02406694813205261,0.0006676506,35.26105,0.9759321,0.1124869614154443,0.0025665078,30.134409,0.8875938
