epoch,loss,mean_squared_error,psnr,ssim,val_loss,val_mean_squared_error,val_psnr,val_ssim
0,0.29821039254067877,0.020985806,20.504303,0.70178914,0.21268447291577,0.008002401,21.145943,0.7873157
1,0.16546271367344953,0.0035722777,24.864252,0.8345376,0.18643581918601332,0.0054891417,23.400541,0.81351405
2,0.1349349285687511,0.0028523726,25.857416,0.86506516,0.14747359252524103,0.003280207,25.131357,0.8525137
3,0.1221624682958013,0.0025571564,26.36007,0.87783754,0.13094318512527423,0.0036268102,24.648445,0.86904705
4,0.11379840734808591,0.0023732902,26.718893,0.8862005,0.31950145069210006,0.0059918137,22.81165,0.68051726
5,0.10722329626159917,0.0022089267,27.04179,0.89277774,0.6041032233457456,0.29968318,5.383677,0.3958538
6,0.09904529661662301,0.0019877392,27.53477,0.9009555,0.13161019501329838,0.0029043471,26.96769,0.8684087
