epoch,loss,mean_squared_error,psnr,ssim,val_loss,val_mean_squared_error,val_psnr,val_ssim
0,0.15149133001655848,0.050646313,21.68635,0.8485098,0.11403563961215403,0.0024677487,30.475449,0.88596386
1,0.05043524787345189,0.0038785003,28.955648,0.9495642,0.1067903795461545,0.002789507,29.294914,0.8931954
2,0.044529799548664276,0.0038947375,28.996675,0.95547086,0.04446217297822579,0.003243038,30.084875,0.95550245
3,0.04132807868771929,0.0039293827,29.082499,0.9586718,0.04809252729361085,0.0038957584,28.444899,0.95196074
4,0.03930435107566807,0.003816398,29.196184,0.96069473,0.04989465403145757,0.0026834006,30.047894,0.9500562
5,0.036365533241000766,0.0031316914,29.832125,0.96363395,0.036296180609999035,0.0018852962,30.964832,0.9637708
6,0.03518002579830613,0.0014260106,31.05135,0.9648214,0.039084567592061796,0.0014338418,31.437994,0.96091217
7,0.034186361977742885,0.0012549914,31.27762,0.965813,0.035117551170546435,0.0012557857,31.721945,0.96485245
8,0.033425608930638916,0.0011933661,31.436003,0.966574,0.034502788350499906,0.0011422852,31.572416,0.9655004
9,0.032929974792800715,0.0011613143,31.490673,0.9670706,0.03374207910450026,0.001122511,31.936647,0.96627784
10,0.03269817890212727,0.0011439435,31.577377,0.9673019,0.03206492241086631,0.0010068826,32.151653,0.96789503
11,0.032406593592052904,0.0011182786,31.611174,0.9675934,0.03347199555786177,0.0012159296,31.736166,0.9665163
12,0.03232928855797614,0.0011233895,31.616205,0.9676705,0.03462797660252143,0.001183025,31.664766,0.9654279
13,0.03210594768218358,0.001103784,31.715069,0.9678942,0.03151383105365709,0.0010415378,32.088367,0.9684506
14,0.03197203801082646,0.0010939825,31.717144,0.9680277,0.031100931352582472,0.0010172459,32.125896,0.96888995
15,0.03166665054455004,0.0010898982,31.758482,0.9683335,0.030841280674112254,0.001010735,32.11375,0.9691686
16,0.03212330098195511,0.0010980119,31.733166,0.9678771,0.031547108429601824,0.0010188096,32.159134,0.9684305
17,0.03133344501081228,0.0010698695,31.806513,0.9686665,0.030907078549779695,0.0009910348,32.115746,0.96912557
18,0.03141137525995314,0.0010705212,31.832266,0.96858954,0.03129279356578301,0.0010109504,32.058357,0.9686829
