,PSNR,SSIM
count,8039.0,8039.0
mean,36.623884519811206,0.9740345474202355
std,7.10687862350177,0.03452263889386884
min,14.550857543945312,0.7397323250770569
25%,30.073759078979492,0.9587359428405762
50%,38.9081916809082,0.9934296011924744
75%,42.37003707885742,0.9976438879966736
max,49.801780700683594,0.9989955425262451
