,PSNR,SSIM
count,8039.0,8039.0
mean,33.405525038351776,0.9651258809232255
std,3.849030545360469,0.0285692781787303
min,16.780567169189453,0.7788536548614502
25%,30.534011840820312,0.9533204138278961
50%,34.36168670654297,0.9782041907310486
75%,36.005937576293945,0.9844090640544891
max,43.194000244140625,0.9932289719581604
