,PSNR,SSIM
count,8039.0,8039.0
mean,36.48232075633924,0.9430064487136972
std,5.748855986895518,0.03440382391427546
min,18.473731994628906,0.7623567581176758
25%,31.313410758972168,0.9270201027393341
50%,37.04800796508789,0.957720935344696
75%,42.35969924926758,0.9667294919490814
max,45.71311950683594,0.985081672668457
