epoch,loss,mean_squared_error,psnr,ssim,val_loss,val_mean_squared_error,val_psnr,val_ssim
0,0.0032075454456940715,0.0032075434,27.237167,0.7017078,0.09242107070468623,0.092421085,10.622537,0.5714514
1,0.001361895271657288,0.0013618941,29.76194,0.8609531,0.0015754312753206354,0.0015769745,28.98717,0.7858881
2,0.0011023087981619141,0.0011023093,30.740168,0.90460235,0.0010721780568489741,0.0010729923,31.018204,0.90167093
3,0.0009543621199192198,0.000954363,31.534601,0.9224749,0.0011577492783210058,0.0011583227,30.427656,0.92368865
4,0.0008725664664322458,0.00087256706,32.046825,0.93311924,0.0033365878137363784,0.0033378578,26.02089,0.7347715
5,0.0007585619103493371,0.0007585622,32.784096,0.9389953,0.0006842713887688179,0.00068428414,33.41383,0.9342366
6,0.0007311073772466838,0.0007311075,32.96492,0.9419512,0.0007317723955085298,0.00073177443,33.1116,0.92008513
7,0.000716249945887138,0.0007162502,33.09697,0.9438035,0.0006902446028985212,0.0006901,33.10579,0.9454339
8,0.0006679169542265343,0.0006679174,33.40693,0.9460209,0.0006390024803180098,0.0006384877,33.79484,0.94521415
9,0.0006687050276933952,0.0006687052,33.416164,0.9463053,0.0006620747260695815,0.0006624797,33.783543,0.9466015
10,0.0006593566629871261,0.0006593569,33.478954,0.9463734,0.0006138655999688774,0.0006132656,33.926857,0.947341
11,0.000656837102050032,0.0006568365,33.51329,0.94679034,0.0006053236062436407,0.0006050527,33.934875,0.947594
12,0.0006581617598875683,0.00065816194,33.509773,0.94675475,0.0006046792760811848,0.0006037005,34.020515,0.9492258
13,0.0006562018962694247,0.0006562015,33.506767,0.94669104,0.0005998029183742227,0.00060012296,34.005333,0.9500508
14,0.0006503336663729217,0.0006503341,33.579624,0.947211,0.0006159386796951722,0.000616061,33.88553,0.9486115
15,0.0006565415289194295,0.0006565416,33.511227,0.9470895,0.0006162899988067828,0.00061635574,33.930843,0.9489601
16,0.000659737219603786,0.00065973704,33.496895,0.9467761,0.0006131328393229492,0.0006130744,33.993607,0.94873714
