,PSNR,SSIM
count,8039.0,8039.0
mean,33.15919320834544,0.9661677669924221
std,3.9063593656793705,0.02759322084165806
min,18.843666076660156,0.7688531279563904
25%,30.163551330566406,0.9536955952644348
50%,33.98395919799805,0.9786345362663269
75%,35.667579650878906,0.9851760268211365
max,42.68988800048828,0.9937357902526855
