,PSNR,SSIM
count,8039.0,8039.0
mean,25.27202697191121,0.7503687464667428
std,1.786465557413964,0.042691484458264185
min,15.310531616210938,0.513154149055481
25%,24.055702209472656,0.7219578623771667
50%,24.795778274536133,0.750611424446106
75%,26.307414054870605,0.7779277265071869
max,31.90300941467285,0.8638856410980225
