,PSNR,SSIM
count,8039.0,8039.0
mean,27.14489950827067,0.884841618645857
std,2.1537890320986164,0.02914497417927246
min,17.723997116088867,0.6447158455848694
25%,25.87142848968506,0.8698895275592804
50%,26.758251190185547,0.8867430686950684
75%,28.416420936584473,0.902908444404602
max,34.45481491088867,0.9519296288490295
