,PSNR,SSIM
count,8039.0,8039.0
mean,38.051922043070654,0.9789554933096464
std,6.8480675782318015,0.02606701561880087
min,16.545541763305664,0.7579735517501831
25%,31.65973949432373,0.9652474522590637
50%,39.240657806396484,0.9929986000061035
75%,44.412763595581055,0.998668760061264
max,50.30088424682617,0.9992570877075195
